,train,val,test
0,TCGA-23-1022,TCGA-57-1992,TCGA-57-1992
1,TCGA-23-1031,TCGA-25-1326,TCGA-25-1326
2,TCGA-23-1032,TCGA-23-1110,TCGA-23-1110
3,TCGA-23-1114,TCGA-25-1313,TCGA-25-1313
4,TCGA-23-1116,TCGA-25-2392,TCGA-25-2392
5,TCGA-23-1117,TCGA-25-1323,TCGA-25-1323
6,TCGA-23-1121,TCGA-23-2078,TCGA-23-2078
7,TCGA-23-1122,TCGA-25-2408,TCGA-25-2408
8,TCGA-23-2077,TCGA-23-2079,TCGA-23-2079
9,TCGA-23-2081,TCGA-25-2400,TCGA-25-2400
10,TCGA-23-2084,TCGA-25-2401,TCGA-25-2401
11,TCGA-25-1320,TCGA-23-2072,TCGA-23-2072
12,TCGA-25-2042,TCGA-OY-A56Q,TCGA-OY-A56Q
13,TCGA-57-1993,TCGA-23-2645,TCGA-23-2645
14,TCGA-59-A5PD,TCGA-WR-A838,TCGA-WR-A838
15,TCGA-13-A5FT,TCGA-25-2409,TCGA-25-2409
16,TCGA-23-1021,TCGA-25-2397,TCGA-25-2397
17,TCGA-23-1027,TCGA-25-1328,TCGA-25-1328
18,TCGA-23-1029,TCGA-25-2404,TCGA-25-2404
19,TCGA-23-1030,TCGA-42-2587,TCGA-42-2587
20,TCGA-23-1111,TCGA-42-2588,TCGA-42-2588
21,TCGA-23-1113,TCGA-57-1586,TCGA-57-1586
22,TCGA-23-1118,,
23,TCGA-23-1123,,
24,TCGA-23-1809,,
25,TCGA-23-2641,,
26,TCGA-23-2643,,
27,TCGA-23-2647,,
28,TCGA-23-2649,,
29,TCGA-25-1312,,
30,TCGA-25-1314,,
31,TCGA-25-1315,,
32,TCGA-25-1316,,
33,TCGA-25-1319,,
34,TCGA-25-1321,,
35,TCGA-25-1329,,
36,TCGA-25-2391,,
37,TCGA-25-2393,,
38,TCGA-25-2396,,
39,TCGA-25-2398,,
40,TCGA-25-2399,,
41,TCGA-3P-A9WA,,
42,TCGA-42-2582,,
43,TCGA-42-2589,,
44,TCGA-42-2590,,
45,TCGA-42-2591,,
46,TCGA-42-2593,,
47,TCGA-57-1994,,
48,TCGA-5X-AA5U,,
49,TCGA-OY-A56P,,
50,TCGA-VG-A8LO,,
