,train,val,test
0,TCGA-23-1022,TCGA-25-1320,TCGA-25-1320
1,TCGA-23-1031,TCGA-23-2084,TCGA-23-2084
2,TCGA-23-1032,TCGA-57-1993,TCGA-57-1993
3,TCGA-23-1110,TCGA-23-2081,TCGA-23-2081
4,TCGA-23-1116,TCGA-23-1114,TCGA-23-1114
5,TCGA-23-1117,TCGA-25-1313,TCGA-25-1313
6,TCGA-23-1121,TCGA-25-2042,TCGA-25-2042
7,TCGA-23-1122,TCGA-23-1123,TCGA-23-1123
8,TCGA-23-2077,TCGA-42-2589,TCGA-42-2589
9,TCGA-23-2078,TCGA-OY-A56Q,TCGA-OY-A56Q
10,TCGA-25-1323,TCGA-42-2593,TCGA-42-2593
11,TCGA-25-1326,TCGA-5X-AA5U,TCGA-5X-AA5U
12,TCGA-25-2392,TCGA-3P-A9WA,TCGA-3P-A9WA
13,TCGA-57-1992,TCGA-23-1021,TCGA-23-1021
14,TCGA-59-A5PD,TCGA-25-1312,TCGA-25-1312
15,TCGA-13-A5FT,TCGA-25-2396,TCGA-25-2396
16,TCGA-23-1029,TCGA-OY-A56P,TCGA-OY-A56P
17,TCGA-23-1030,TCGA-23-1113,TCGA-23-1113
18,TCGA-23-1111,TCGA-23-1027,TCGA-23-1027
19,TCGA-23-1118,TCGA-23-2079,TCGA-23-2079
20,TCGA-23-1809,TCGA-25-2398,TCGA-25-2398
21,TCGA-23-2072,TCGA-25-2400,TCGA-25-2400
22,TCGA-23-2641,,
23,TCGA-23-2643,,
24,TCGA-23-2645,,
25,TCGA-23-2647,,
26,TCGA-23-2649,,
27,TCGA-25-1314,,
28,TCGA-25-1315,,
29,TCGA-25-1316,,
30,TCGA-25-1319,,
31,TCGA-25-1321,,
32,TCGA-25-1328,,
33,TCGA-25-1329,,
34,TCGA-25-2391,,
35,TCGA-25-2393,,
36,TCGA-25-2397,,
37,TCGA-25-2399,,
38,TCGA-25-2401,,
39,TCGA-25-2404,,
40,TCGA-25-2408,,
41,TCGA-25-2409,,
42,TCGA-42-2582,,
43,TCGA-42-2587,,
44,TCGA-42-2588,,
45,TCGA-42-2590,,
46,TCGA-42-2591,,
47,TCGA-57-1586,,
48,TCGA-57-1994,,
49,TCGA-VG-A8LO,,
50,TCGA-WR-A838,,
