,train,val,test
TCGA-23-1022,True,False,False
TCGA-23-1032,True,False,False
TCGA-23-1114,True,False,False
TCGA-23-1116,True,False,False
TCGA-23-2077,True,False,False
TCGA-23-2078,True,False,False
TCGA-23-2081,True,False,False
TCGA-23-2084,True,False,False
TCGA-25-1323,True,False,False
TCGA-25-1326,True,False,False
TCGA-25-2042,True,False,False
TCGA-25-2392,True,False,False
TCGA-57-1992,True,False,False
TCGA-57-1993,True,False,False
TCGA-59-A5PD,True,False,False
TCGA-13-A5FT,True,False,False
TCGA-23-1021,True,False,False
TCGA-23-1029,True,False,False
TCGA-23-1111,True,False,False
TCGA-23-1113,True,False,False
TCGA-23-1118,True,False,False
TCGA-23-1123,True,False,False
TCGA-23-1809,True,False,False
TCGA-23-2072,True,False,False
TCGA-23-2643,True,False,False
TCGA-23-2645,True,False,False
TCGA-23-2647,True,False,False
TCGA-23-2649,True,False,False
TCGA-25-1312,True,False,False
TCGA-25-1314,True,False,False
TCGA-25-1319,True,False,False
TCGA-25-1321,True,False,False
TCGA-25-1329,True,False,False
TCGA-25-2391,True,False,False
TCGA-25-2396,True,False,False
TCGA-25-2399,True,False,False
TCGA-25-2400,True,False,False
TCGA-25-2401,True,False,False
TCGA-25-2404,True,False,False
TCGA-25-2408,True,False,False
TCGA-42-2582,True,False,False
TCGA-42-2587,True,False,False
TCGA-42-2589,True,False,False
TCGA-42-2590,True,False,False
TCGA-42-2591,True,False,False
TCGA-42-2593,True,False,False
TCGA-57-1586,True,False,False
TCGA-5X-AA5U,True,False,False
TCGA-OY-A56P,True,False,False
TCGA-OY-A56Q,True,False,False
TCGA-WR-A838,True,False,False
TCGA-23-1031,False,True,False
TCGA-25-1313,False,True,False
TCGA-23-1122,False,True,False
TCGA-25-1320,False,True,False
TCGA-23-1117,False,True,False
TCGA-23-1121,False,True,False
TCGA-23-1110,False,True,False
TCGA-42-2588,False,True,False
TCGA-25-2397,False,True,False
TCGA-VG-A8LO,False,True,False
TCGA-25-2398,False,True,False
TCGA-25-2393,False,True,False
TCGA-3P-A9WA,False,True,False
TCGA-23-2641,False,True,False
TCGA-25-1328,False,True,False
TCGA-25-1315,False,True,False
TCGA-25-1316,False,True,False
TCGA-57-1994,False,True,False
TCGA-23-1030,False,True,False
TCGA-23-1027,False,True,False
TCGA-25-2409,False,True,False
TCGA-23-2079,False,True,False
TCGA-23-1031,False,False,True
TCGA-25-1313,False,False,True
TCGA-23-1122,False,False,True
TCGA-25-1320,False,False,True
TCGA-23-1117,False,False,True
TCGA-23-1121,False,False,True
TCGA-23-1110,False,False,True
TCGA-42-2588,False,False,True
TCGA-25-2397,False,False,True
TCGA-VG-A8LO,False,False,True
TCGA-25-2398,False,False,True
TCGA-25-2393,False,False,True
TCGA-3P-A9WA,False,False,True
TCGA-23-2641,False,False,True
TCGA-25-1328,False,False,True
TCGA-25-1315,False,False,True
TCGA-25-1316,False,False,True
TCGA-57-1994,False,False,True
TCGA-23-1030,False,False,True
TCGA-23-1027,False,False,True
TCGA-25-2409,False,False,True
TCGA-23-2079,False,False,True
