,train,val,test
0,TCGA-23-1022,TCGA-23-1122,TCGA-23-1122
1,TCGA-23-1031,TCGA-25-1313,TCGA-25-1313
2,TCGA-23-1110,TCGA-23-1116,TCGA-23-1116
3,TCGA-23-1114,TCGA-23-1117,TCGA-23-1117
4,TCGA-23-2077,TCGA-25-2042,TCGA-25-2042
5,TCGA-23-2078,TCGA-23-1032,TCGA-23-1032
6,TCGA-23-2081,TCGA-23-1121,TCGA-23-1121
7,TCGA-23-2084,TCGA-VG-A8LO,TCGA-VG-A8LO
8,TCGA-25-1320,TCGA-23-2643,TCGA-23-2643
9,TCGA-25-1323,TCGA-25-1315,TCGA-25-1315
10,TCGA-25-1326,TCGA-23-2641,TCGA-23-2641
11,TCGA-25-2392,TCGA-42-2587,TCGA-42-2587
12,TCGA-57-1992,TCGA-23-1123,TCGA-23-1123
13,TCGA-57-1993,TCGA-OY-A56P,TCGA-OY-A56P
14,TCGA-59-A5PD,TCGA-23-2072,TCGA-23-2072
15,TCGA-13-A5FT,TCGA-25-2398,TCGA-25-2398
16,TCGA-23-1021,TCGA-25-2409,TCGA-25-2409
17,TCGA-23-1027,TCGA-25-1329,TCGA-25-1329
18,TCGA-23-1029,TCGA-23-1118,TCGA-23-1118
19,TCGA-23-1030,TCGA-23-2647,TCGA-23-2647
20,TCGA-23-1111,TCGA-23-1809,TCGA-23-1809
21,TCGA-23-1113,TCGA-WR-A838,TCGA-WR-A838
22,TCGA-23-2079,,
23,TCGA-23-2645,,
24,TCGA-23-2649,,
25,TCGA-25-1312,,
26,TCGA-25-1314,,
27,TCGA-25-1316,,
28,TCGA-25-1319,,
29,TCGA-25-1321,,
30,TCGA-25-1328,,
31,TCGA-25-2391,,
32,TCGA-25-2393,,
33,TCGA-25-2396,,
34,TCGA-25-2397,,
35,TCGA-25-2399,,
36,TCGA-25-2400,,
37,TCGA-25-2401,,
38,TCGA-25-2404,,
39,TCGA-25-2408,,
40,TCGA-3P-A9WA,,
41,TCGA-42-2582,,
42,TCGA-42-2588,,
43,TCGA-42-2589,,
44,TCGA-42-2590,,
45,TCGA-42-2591,,
46,TCGA-42-2593,,
47,TCGA-57-1586,,
48,TCGA-57-1994,,
49,TCGA-5X-AA5U,,
50,TCGA-OY-A56Q,,
