,train,val,test
0,TCGA-23-1031,TCGA-23-1110,TCGA-23-1110
1,TCGA-23-1032,TCGA-23-2077,TCGA-23-2077
2,TCGA-23-1116,TCGA-23-1122,TCGA-23-1122
3,TCGA-23-1117,TCGA-25-1320,TCGA-25-1320
4,TCGA-23-1121,TCGA-23-1114,TCGA-23-1114
5,TCGA-23-2078,TCGA-23-1022,TCGA-23-1022
6,TCGA-23-2081,TCGA-25-1326,TCGA-25-1326
7,TCGA-23-2084,TCGA-23-2645,TCGA-23-2645
8,TCGA-25-1313,TCGA-23-2649,TCGA-23-2649
9,TCGA-25-1323,TCGA-42-2582,TCGA-42-2582
10,TCGA-25-2042,TCGA-57-1586,TCGA-57-1586
11,TCGA-25-2392,TCGA-25-2393,TCGA-25-2393
12,TCGA-57-1992,TCGA-25-1315,TCGA-25-1315
13,TCGA-57-1993,TCGA-23-2643,TCGA-23-2643
14,TCGA-59-A5PD,TCGA-25-2408,TCGA-25-2408
15,TCGA-13-A5FT,TCGA-WR-A838,TCGA-WR-A838
16,TCGA-23-1021,TCGA-25-1312,TCGA-25-1312
17,TCGA-23-1029,TCGA-25-2396,TCGA-25-2396
18,TCGA-23-1030,TCGA-23-2647,TCGA-23-2647
19,TCGA-23-1111,TCGA-5X-AA5U,TCGA-5X-AA5U
20,TCGA-23-1113,TCGA-23-1027,TCGA-23-1027
21,TCGA-23-1118,TCGA-VG-A8LO,TCGA-VG-A8LO
22,TCGA-23-1123,,
23,TCGA-23-1809,,
24,TCGA-23-2072,,
25,TCGA-23-2079,,
26,TCGA-23-2641,,
27,TCGA-25-1314,,
28,TCGA-25-1316,,
29,TCGA-25-1319,,
30,TCGA-25-1321,,
31,TCGA-25-1328,,
32,TCGA-25-1329,,
33,TCGA-25-2391,,
34,TCGA-25-2397,,
35,TCGA-25-2398,,
36,TCGA-25-2399,,
37,TCGA-25-2400,,
38,TCGA-25-2401,,
39,TCGA-25-2404,,
40,TCGA-25-2409,,
41,TCGA-3P-A9WA,,
42,TCGA-42-2587,,
43,TCGA-42-2588,,
44,TCGA-42-2589,,
45,TCGA-42-2590,,
46,TCGA-42-2591,,
47,TCGA-42-2593,,
48,TCGA-57-1994,,
49,TCGA-OY-A56P,,
50,TCGA-OY-A56Q,,
